Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
M001,Leap Year,Conditionals,3,Medium,Medium,Not Attempted,0,1,Read year and print Leap or Not Leap.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2000,Leap,1900,Not Leap,2024,Leap,2023,Not Leap,2100,Not Leap,2000,Leap,1900,Not Leap,2024,Leap,2023,Not Leap,2100,Not Leap
M002,Factorial,Loops,3,Medium,Medium,Not Attempted,0,1,Read n (0 to 12) and print factorial.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,1,1,1,2,2,3,6,5,120,0,1,1,1,2,2,3,6,5,120
M003,Reverse Number,Loops,3,Medium,Medium,Not Attempted,0,1,Read non-negative integer and print reverse.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,0,12,21,120,21,1234,4321,900,9,0,0,12,21,120,21,1234,4321,900,9
M004,Prime Check,Loops,3,Medium,Medium,Not Attempted,0,1,Read positive integer n and print Prime or Not Prime.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,Not Prime,2,Prime,3,Prime,4,Not Prime,11,Prime,1,Not Prime,2,Prime,3,Prime,4,Not Prime,11,Prime
M005,Fibonacci,Loops,3,Medium,Medium,Not Attempted,0,1,"Read n and print nth Fibonacci (0th=0, 1st=1).","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,0,0,1,1,2,1,3,2,6,8,0,0,1,1,2,1,3,2,6,8
M006,Sum of Even up to N,Loops,3,Medium,Medium,Not Attempted,0,1,Read n and print sum of all even integers from 1 to n.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,0,2,2,5,6,10,30,6,12,1,0,2,2,5,6,10,30,6,12
M007,Palindrome Number Check,Loops,3,Medium,Medium,Not Attempted,0,1,Read non-negative n and print Palindrome or Not Palindrome.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,121,Palindrome,123,Not Palindrome,0,Palindrome,7,Palindrome,1221,Palindrome,121,Palindrome,123,Not Palindrome,0,Palindrome,7,Palindrome,1221,Palindrome
M008,Factors Count,Loops,3,Medium,Medium,Not Attempted,0,1,Read positive integer n and print number of divisors of n.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,1,6,4,7,2,10,4,12,6,1,1,6,4,7,2,10,4,12,6
M009,Count Even Digits,Loops,3,Medium,Medium,Not Attempted,0,1,Read non-negative n and print count of even digits.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1234,2,2468,4,1357,0,0,1,802,3,1234,2,2468,4,1357,0,0,1,802,3
M010,Sum of Odd Digits,Loops,3,Medium,Medium,Not Attempted,0,1,Read non-negative n and print sum of odd digits.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1234,4,2468,0,1357,16,0,0,901,10,1234,4,2468,0,1357,16,0,0,901,10
LM001,Prime Range Print,Lab Manual Loops,3,Hard,Hard,Not Attempted,0,1,"Write a C program to print the prime numbers in a given range.
Read start and end (inclusive). Print all prime numbers in range space separated. If none, print empty line or nothing.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,10 20,11 13 17 19,1 10,2 3 5 7,14 16,,20 30,23 29,2 5,2 3 5,10 20,11 13 17 19,1 10,2 3 5 7,14 16,,20 30,23 29,2 5,2 3 5
H001,Armstrong Check,Loops,3,Hard,Hard,Not Attempted,0,1,Read n and print Armstrong or Not Armstrong (sum of cubes of digits == n for 3-digit numbers).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,153,Armstrong,370,Armstrong,123,Not Armstrong,407,Armstrong,10,Not Armstrong,153,Armstrong,370,Armstrong,123,Not Armstrong,407,Armstrong,10,Not Armstrong
H002,Perfect Number,Loops,3,Hard,Hard,Not Attempted,0,1,Read n and print Perfect or Not Perfect (sum of proper divisors == n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,6,Perfect,28,Perfect,12,Not Perfect,496,Perfect,100,Not Perfect,6,Perfect,28,Perfect,12,Not Perfect,496,Perfect,100,Not Perfect
H003,Pattern Count,Loops,3,Hard,Hard,Not Attempted,0,1,Read n and print number of stars in n-row triangle n*(n+1)/2.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,1,2,3,3,6,4,10,5,15,1,1,2,3,3,6,4,10,5,15
H004,Collatz Steps,Loops,3,Hard,Hard,Not Attempted,0,1,Read n and print steps to reach 1 by Collatz rule (if even n/2 else 3*n+1).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1,0,2,1,3,7,4,2,5,5,1,0,2,1,3,7,4,2,5,5
H005,Strong Number Check,Loops,3,Hard,Hard,Not Attempted,0,1,Read n and print Strong or Not Strong (sum of factorials of digits == n).,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,145,Strong,1,Strong,2,Strong,123,Not Strong,40585,Strong,145,Strong,1,Strong,2,Strong,123,Not Strong,40585,Strong
