Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
M001,Linear Search,Arrays,4,Medium,Medium,Not Attempted,0,1,"Read n, n integers, key. Print Found or Not Found.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3 2,Found,3 1 2 3 5,Not Found,1 9 9,Found,3 4 5 6 4,Found,3 4 5 6 7,Not Found,3 1 2 3 2,Found,3 1 2 3 5,Not Found,1 9 9,Found,3 4 5 6 4,Found,3 4 5 6 7,Not Found
M002,Array Reverse,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers and print reverse space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,1 1,1,3 1 2 3,3 2 1,3 5 5 5,5 5 5,3 -1 2 -3,-3 2 -1,4 10 20 30 40,40 30 20 10,1 1,1,3 1 2 3,3 2 1,3 5 5 5,5 5 5,3 -1 2 -3,-3 2 -1,4 10 20 30 40,40 30 20 10
M003,Second Largest,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n distinct integers and print second largest.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 1 2,1,3 1 2 3,2,3 5 4 3,4,4 10 20 30 40,30,3 -1 2 -3,-1,2 1 2,1,3 1 2 3,2,3 5 4 3,4,4 10 20 30 40,30,3 -1 2 -3,-1
M004,Frequency Key,Arrays,4,Medium,Medium,Not Attempted,0,1,"Read n, n integers, key. Print frequency of key.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 1 1,2,3 1 2 3 4,0,3 5 5 5 5,3,3 0 0 1 0,2,3 -1 2 -1 -1,2,3 1 2 1 1,2,3 1 2 3 4,0,3 5 5 5 5,3,3 0 0 1 0,2,3 -1 2 -1 -1,2
M005,Adjacent Pair Sum,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers and print maximum adjacent pair sum.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,2 1 2,3,3 1 2 3,5,3 5 4 3,9,4 10 20 30 40,70,3 -1 2 -3,1,2 1 2,3,3 1 2 3,5,3 5 4 3,9,4 10 20 30 40,70,3 -1 2 -3,1
M006,Check Sorted Ascending,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers. Print Sorted if non-decreasing else Not Sorted.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,Sorted,3 3 2 1,Not Sorted,1 5,Sorted,4 1 1 2 2,Sorted,3 1 3 2,Not Sorted,3 1 2 3,Sorted,3 3 2 1,Not Sorted,1 5,Sorted,4 1 1 2 2,Sorted,3 1 3 2,Not Sorted
M007,Sum of Even Indexed,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers. Print sum of elements at 0-based even indices.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 10 20 30,40,4 1 2 3 4,4,1 5,5,2 10 20,10,5 1 1 1 1 1,3,3 10 20 30,40,4 1 2 3 4,4,1 5,5,2 10 20,10,5 1 1 1 1 1,3
M008,Replace Negatives Zero,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers. Print array replacing negative values with 0 space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 -2 3,1 0 3,2 -5 -1,0 0,3 1 2 3,1 2 3,1 -10,0,4 -1 2 -3 4,0 2 0 4,3 1 -2 3,1 0 3,2 -5 -1,0 0,3 1 2 3,1 2 3,1 -10,0,4 -1 2 -3 4,0 2 0 4
M009,Count Greater Average,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers. Print count of elements strictly greater than exact average.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1,4 10 10 10 10,0,3 1 10 1,1,2 0 10,1,5 1 2 3 4 5,2,3 1 2 3,1,4 10 10 10 10,0,3 1 10 1,1,2 0 10,1,5 1 2 3 4 5,2
M010,Copy Array,Arrays,4,Medium,Medium,Not Attempted,0,1,Read n and n integers. Copy into second array and print second array space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1 2 3,1 42,42,2 -1 -2,-1 -2,4 0 0 0 0,0 0 0 0,3 9 8 7,9 8 7,3 1 2 3,1 2 3,1 42,42,2 -1 -2,-1 -2,4 0 0 0 0,0 0 0 0,3 9 8 7,9 8 7
LM001,Mean Variance StdDev,Lab Manual Arrays,4,Hard,Hard,Not Attempted,0,1,"Write a C program to input N real numbers in 1-D array. Compute mean, variance and Standard Deviation.
[Mean= sum/N, Variance = Σ (Xi-mean)^2 /N, STD Deviation= √variance.]
Read integer N then N float numbers. Print Mean, Variance, and Std Dev rounded to 2 decimal places space separated (e.g. '2.00 0.67 0.82').","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,3 1 2 3,2.00 0.67 0.82,4 2 4 4 4,3.50 0.75 0.87,1 5.0,5.00 0.00 0.00,2 10 20,15.00 25.00 5.00,5 1 1 1 1 1,1.00 0.00 0.00,3 1 2 3,2.00 0.67 0.82,4 2 4 4 4,3.50 0.75 0.87,1 5.0,5.00 0.00 0.00,2 10 20,15.00 25.00 5.00,5 1 1 1 1 1,1.00 0.00 0.00
LM002,Binary Search Sorted,Lab Manual Arrays,4,Hard,Hard,Not Attempted,0,1,"Write a C program to perform a binary search for a given key integer in a single dimensional array of numbers in ascending order and report success or failure in the form of a suitable message.
Read N, N sorted integers, then Key. Print 'Success: Found at index X' (0-based) or 'Failure: Key not found'.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,5 10 20 30 40 50 30,Success: Found at index 2,5 10 20 30 40 50 25,Failure: Key not found,1 5 5,Success: Found at index 0,3 1 2 3 1,Success: Found at index 0,3 1 2 3 4,Failure: Key not found,5 10 20 30 40 50 30,Success: Found at index 2,5 10 20 30 40 50 25,Failure: Key not found,1 5 5,Success: Found at index 0,3 1 2 3 1,Success: Found at index 0,3 1 2 3 4,Failure: Key not found
LM003,Selection Sort Display,Lab Manual Arrays,4,Hard,Hard,Not Attempted,0,1,"Write a C program to input N integer numbers into a single dimension array, sort them into ascending order using selection sort technique, and print both given array and sorted array with suitable headings.
Read N then N integers. Output exact format:
Given Array: <space separated elements>
Sorted Array: <space separated elements>","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,3 3 1 2,"Given Array: 3 1 2
Sorted Array: 1 2 3",4 10 5 8 2,"Given Array: 10 5 8 2
Sorted Array: 2 5 8 10",1 42,"Given Array: 42
Sorted Array: 42",3 5 5 5,"Given Array: 5 5 5
Sorted Array: 5 5 5",2 9 1,"Given Array: 9 1
Sorted Array: 1 9",3 3 1 2,"Given Array: 3 1 2
Sorted Array: 1 2 3",4 10 5 8 2,"Given Array: 10 5 8 2
Sorted Array: 2 5 8 10",1 42,"Given Array: 42
Sorted Array: 42",3 5 5 5,"Given Array: 5 5 5
Sorted Array: 5 5 5",2 9 1,"Given Array: 9 1
Sorted Array: 1 9"
H001,Pair Sum Target,Arrays,4,Hard,Hard,Not Attempted,0,1,"Read n, n distinct integers, target. Print Yes if any pair sums to target else No.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,4 1 2 3 4 5,Yes,3 1 2 3 7,No,2 5 5 10,No,2 4 6 10,Yes,3 10 20 30 50,Yes,4 1 2 3 4 5,Yes,3 1 2 3 7,No,2 5 5 10,No,2 4 6 10,Yes,3 10 20 30 50,Yes
H002,Majority Element,Arrays,4,Hard,Hard,Not Attempted,0,1,Read n and n integers. Print element appearing strictly more than n/2 times else -1.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 1 2,1,4 1 2 3 4,-1,5 2 2 2 1 3,2,1 42,42,3 5 6 7,-1,3 1 1 2,1,4 1 2 3 4,-1,5 2 2 2 1 3,2,1 42,42,3 5 6 7,-1
H003,Rotate Left One,Arrays,4,Hard,Hard,Not Attempted,0,1,Read n and n integers. Rotate array left by 1 position and print space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,2 3 1,1 5,5,4 10 20 30 40,20 30 40 10,2 1 2,2 1,5 1 1 1 1 2,1 1 1 2 1,3 1 2 3,2 3 1,1 5,5,4 10 20 30 40,20 30 40 10,2 1 2,2 1,5 1 1 1 1 2,1 1 1 2 1
H004,Longest Increasing Subarray,Arrays,4,Hard,Hard,Not Attempted,0,1,Read n and n integers. Print length of longest strictly increasing contiguous subarray.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,5 1 2 3 1 2,3,4 4 3 2 1,1,1 10,1,6 1 3 5 4 7 8,3,3 1 2 3,3,5 1 2 3 1 2,3,4 4 3 2 1,1,1 10,1,6 1 3 5 4 7 8,3,3 1 2 3,3
H005,Max Min Difference,Arrays,4,Hard,Hard,Not Attempted,0,1,Read n and n integers. Print difference between maximum and minimum elements.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 5 2,4,1 10,0,4 -10 0 10 20,30,3 5 5 5,0,5 100 1 50 20 10,99,3 1 5 2,4,1 10,0,4 -10 0 10 20,30,3 5 5 5,0,5 100 1 50 20 10,99
