Question_ID,Title,Topic,Level,Level_Range,Difficulty,Status,Score,Max_Score,Problem_Statement,Starter_Code,Is_Active,Is_Mandatory,Time_Limit,Memory_Limit_KB,Test1_Input,Test1_Output,Test2_Input,Test2_Output,Test3_Input,Test3_Output,Test4_Input,Test4_Output,Test5_Input,Test5_Output,Test6_Input,Test6_Output,Test7_Input,Test7_Output,Test8_Input,Test8_Output,Test9_Input,Test9_Output,Test10_Input,Test10_Output
M004,Pointer String Length,Pointers,7,Medium,Medium,Not Attempted,0,1,Read a word. Compute length using pointer traversal (while (*str != '\0')) and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,5,a,1,programming,11,code,4,openai,6,hello,5,a,1,programming,11,code,4,openai,6
M005,Pointer Count Vowels,Pointers,7,Medium,Medium,Not Attempted,0,1,Read lowercase word. Count vowels using pointer traversal and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,2,sky,0,education,5,apple,2,code,2,hello,2,sky,0,education,5,apple,2,code,2
M006,Pointer Array Min,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Find minimum using pointer traversal and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1,1 5,5,4 10 20 30 40,10,2 -1 1,-1,3 5 5 5,5,3 1 2 3,1,1 5,5,4 10 20 30 40,10,2 -1 1,-1,3 5 5 5,5
M007,Pointer Copy Array,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Copy to second array using pointers and print second array space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1 2 3,1 42,42,2 -1 -2,-1 -2,4 0 0 0 0,0 0 0 0,3 9 8 7,9 8 7,3 1 2 3,1 2 3,1 42,42,2 -1 -2,-1 -2,4 0 0 0 0,0 0 0 0,3 9 8 7,9 8 7
M008,Pointer Count Evens,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Count even numbers using pointer arithmetic and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,1,4 10 20 30 40,4,1 5,0,2 2 4,2,3 1 3 5,0,3 1 2 3,1,4 10 20 30 40,4,1 5,0,2 2 4,2,3 1 3 5,0
M009,Pointer Search Key,Pointers,7,Medium,Medium,Not Attempted,0,1,"Read n, n integers, key. Search key using pointer arithmetic. Print 1 if found else 0.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3 2,1,3 1 2 3 5,0,1 9 9,1,3 4 5 6 4,1,3 4 5 6 7,0,3 1 2 3 2,1,3 1 2 3 5,0,1 9 9,1,3 4 5 6 4,1,3 4 5 6 7,0
M010,Pointer Array Average,Pointers,7,Medium,Medium,Not Attempted,0,1,Read n and n integers. Compute integer average using pointer sum and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,2,4 10 20 30 40,25,1 5,5,2 0 10,5,5 5 5 5 5,5,3 1 2 3,2,4 10 20 30 40,25,1 5,5,2 0 10,5,5 5 5 5 5,5
LM001,Pointer Array Sum Manual,Lab Manual Pointers,7,Hard,Hard,Not Attempted,0,1,"Write a C program to read N integers into an array A and find the sum of elements using pointers.
Read integer N then N integers. Traverse array using pointers and print exact integer sum.","#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,true,2,128000,4 10 20 30 40,100,3 1 2 3,6,1 5,5,3 -1 2 -3,-2,5 1 1 1 1 1,5,4 10 20 30 40,100,3 1 2 3,6,1 5,5,3 -1 2 -3,-2,5 1 1 1 1 1,5
H001,Pointer String Reverse,Pointers,7,Hard,Hard,Not Attempted,0,1,Read a word. Reverse string in place using two pointers and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello,olleh,abc,cba,a,a,code,edoc,racecar,racecar,hello,olleh,abc,cba,a,a,code,edoc,racecar,racecar
H002,Pointer Palindrome Check,Pointers,7,Hard,Hard,Not Attempted,0,1,Read a word. Check palindrome using two pointers. Print Palindrome or Not Palindrome.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,madam,Palindrome,hello,Not Palindrome,racecar,Palindrome,level,Palindrome,code,Not Palindrome,madam,Palindrome,hello,Not Palindrome,racecar,Palindrome,level,Palindrome,code,Not Palindrome
H003,Pointer Sort Array,Pointers,7,Hard,Hard,Not Attempted,0,1,Read n and n integers. Sort array ascending using pointer arithmetic and print space separated.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 3 1 2,1 2 3,4 10 5 8 2,2 5 8 10,1 42,42,3 5 5 5,5 5 5,2 9 1,1 9,3 3 1 2,1 2 3,4 10 5 8 2,2 5 8 10,1 42,42,3 5 5 5,5 5 5,2 9 1,1 9
H004,Pointer Count Words,Pointers,7,Hard,Hard,Not Attempted,0,1,Read sentence (words separated by single space). Count words using pointer traversal and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,hello world,2,code lab test,3,a,1,one two three four,4,openai,1,hello world,2,code lab test,3,a,1,one two three four,4,openai,1
H005,Pointer Second Largest,Pointers,7,Hard,Hard,Not Attempted,0,1,Read n and n distinct integers. Find second largest using pointer traversal and print.,"#include <stdio.h>

int main(void)
{
    /* Read from stdin and print exact output only. */
    return 0;
}
",true,false,2,128000,3 1 2 3,2,4 10 20 30 40,30,3 5 4 3,4,2 1 2,1,5 10 50 20 30 40,40,3 1 2 3,2,4 10 20 30 40,30,3 5 4 3,4,2 1 2,1,5 10 50 20 30 40,40
